Чуканова,Лидия,Петровна
Курбонмамадов,Матвей,Савелиевич
Паршина,Инга,Вячеславовна
Пустоходова,Людмила,Антониновна
Яндукина,Ираида,Геннадиевна
Тимашева,﻿Агата,Игоревна
Юнге,Михаил,Пахомович
Шуршалина,Ярослава,Геннадиевна
Муравьева,Василиса,Родионовна
Сочеванова,Маргарита,Геннадиевна
Тимошкина,Кира,Елисеевна
Маслюка,Анисья,Ираклиевна
Гунин,Нестор,Филиппович
Голубкина,Ефросинья,Несторовна
Елисеев,Давид,Сократович
Юрьева,Владлена,Брониславовна
Слобожанина,Клара,Игнатиевна
Русскиха,Клара,Ильевна
Кузинкова,Марианна,Данилевна
Абрамов,Эдуард,Платонович
Шмелёв,Родион,Панкратиевич
Гунина,Кира,Владленовна
Рошета,Христина,Всеволодовна
Рязанцев,Владимир,Ермолаевич
Пустова,Стела,Филипповна
Папилов,Агап,Никанорович
Воробьев,Юлиан,Тихонович
Ванин,Серафим,Игнатиевич
Жиренкова,Нона,Емельяновна
Коньякова,Альбина,Святославовна
Жданова,Лада,Петровна
Ахвледиани,Рада,Родионовна
Баранов,Филимон,Сократович
Комзин,Захар,Онисимович
Фареста,Христина,Данилевна
Комзина,Антонина,Леонидовна
Нилин,Терентий,Владиславович
Смольникова,Алла,Афанасиевна
Унтилова,Алла,Александровна
Сулимов,Федот,Валерьянович
Луковникова,Каролина,Ипполитовна
Емельяненко,Емельян,Иванович
Стрелков,Игнатий,Иванович
Валуева,Антонина,Несторовна
Карташёва,Ефросиния,Афанасиевна
Забродин,Измаил,Богданович
Лобачёв,Герман,Архипович
Мосин,Зиновий,Федотович
Букова,Евдокия,Якововна
Новожилова,Агния,Ильевна
Самошин,Ираклий,Венедиктович
Гаврюшин,Варфоломей,Гаврилевич
Курзыбова,Ариадна,Олеговна
Третьяков,Родион,Ерофеевич
Кабальнова,Анфиса,Василиевна
Гарифуллин,Потап,Иванович
Тимашева,Юнона,Ростиславовна
Язовицкий,Остап,Саввевич
Квасков,Остап,Аполлинариевич
Чуканова,Яна,Андрияновна
Травникова,Рената,Глебовна
Алпатов,Андрон,Ростиславович
Маховицкий,Федор,Владимирович
Ясько,Лариса,Антониновна
Эйлер,Кондратий,Климентович
Антоновича,Анастасия,Игнатиевна
Язынина,Елизавета,Глебовна
Татаринцев,Ираклий,Святославович
Бойдало,Кирилл,Самсонович
Мухова,Элеонора,Антониновна
Галкина,Антонина,Фомевна
Ёжина,Лариса,Якововна
Масмехова,Лада,Павеловна
Подколодный,Якуб,Тарасович
Мирова,Ева,Емельяновна
Каде,Нина,Евгениевна
Конакова,Ника,Серафимовна
Жарков,Адам,Потапович
Диденкова,Диана,Ираклиевна
Крупина,Ираида,Тихоновна
Мухина,Бронислава,Никитевна
Юганцева,Аза,Ивановна
Цвиленев,Ростислав,Михеевич
Ишеев,Авдей,Ильевич
Махнёв,Феликс,Серафимович
Авдиенко,Клавдий,Феликсович
Азаренков,Назар,Афанасиевич
Яшенкин,Захар,Семенович
Сопов,Агафон,Никитевич
Лопатина,Изольда,Иларионовна
Брагин,Владлен,Онисимович
Карташёва,Пелагея,Данилевна
Бессуднов,Кирилл,Михеевич
Борцова,Лариса,Глебовна
Абоимов,Никанор,Андронович
Абоймова,Милена,Данииловна
Толстобров,Измаил,Давидович
Янкин,Константин,Глебович
Илюхин,Кирилл,Самуилович
Островерха,Римма,Мироновна
